,metric,step_0,step_1,step_2,step_3,step_4,step_5,step_6,step_7,importance
795,manhattan,sentence_to_doc,get_tokens,get_stopwords,lemmatize_tokens,get_characters,get_3grams,,,0.0001026091966863327
677,cosine,sentence_to_doc,get_tokens,remove_stopwords,get_token_text,remove_non_alnum,get_2grams,,,0.00010254998826131155
709,cosine,sentence_to_doc,get_tokens,remove_stopwords,get_synsets,remove_non_alnum,get_2grams,,,0.00010249022474558543
1751,manhattan,sentence_to_doc,chunk_NEs,get_stopwords,lemmatize_tokens,remove_non_alnum,get_characters,get_2grams,,0.00010235949929412535
827,manhattan,sentence_to_doc,get_tokens,get_stopwords,get_token_text,get_characters,get_3grams,,,0.00010222720754695176
1626,euclidean,sentence_to_doc,chunk_NEs,remove_stopwords,get_token_text,remove_non_alnum,get_characters,get_3grams,,0.00010200803703836457
842,euclidean,sentence_to_doc,get_tokens,get_stopwords,get_token_text,remove_non_alnum,get_3grams,,,0.00010196146401162018
124,jaccard,sentence_to_doc,chunk_NEs,get_synsets,get_4grams,,,,,0.00010193536823055493
1073,cosine,sentence_to_doc,chunk_NEs,remove_stopwords,get_synsets,remove_non_alnum,,,,0.0001018871946518188
251,manhattan,sentence_to_doc,get_tokens,remove_stopwords,lemmatize_tokens,get_3grams,,,,0.00010179443328875773
714,euclidean,sentence_to_doc,get_tokens,remove_stopwords,get_synsets,remove_non_alnum,get_3grams,,,0.00010173052919400459
837,cosine,sentence_to_doc,get_tokens,get_stopwords,get_token_text,remove_non_alnum,get_2grams,,,0.00010148398488169661
1768,jaccard,sentence_to_doc,chunk_NEs,get_stopwords,get_token_text,remove_non_alnum,get_characters,get_3grams,,0.00010085082816887476
545,cosine,sentence_to_doc,chunk_NEs,get_stopwords,get_token_text,,,,,0.00010053565033521764
603,manhattan,sentence_to_doc,get_tokens,get_token_text,remove_non_alnum,get_characters,get_3grams,,,0.0001005126353507856
195,manhattan,sentence_to_doc,get_tokens,get_synsets,get_characters,,,,,0.00010036867203669539
1157,cosine,sentence_to_doc,chunk_NEs,get_stopwords,lemmatize_tokens,get_characters,get_2grams,,,9.96146240593753e-05
1023,manhattan,sentence_to_doc,chunk_NEs,remove_stopwords,lemmatize_tokens,remove_non_alnum,get_4grams,,,9.875893043323559e-05
247,manhattan,sentence_to_doc,get_tokens,remove_stopwords,lemmatize_tokens,get_2grams,,,,9.791328822841909e-05
1757,cosine,sentence_to_doc,chunk_NEs,get_stopwords,lemmatize_tokens,remove_non_alnum,get_characters,get_4grams,,9.742054516887158e-05
380,jaccard,sentence_to_doc,chunk_NEs,lemmatize_tokens,remove_non_alnum,get_4grams,,,,9.739729874326365e-05
1639,manhattan,sentence_to_doc,chunk_NEs,remove_stopwords,get_synsets,remove_non_alnum,get_characters,get_2grams,,9.708423066573419e-05
343,manhattan,sentence_to_doc,get_tokens,get_stopwords,get_synsets,get_2grams,,,,9.692165632944929e-05
435,manhattan,sentence_to_doc,chunk_NEs,get_synsets,remove_non_alnum,,,,,9.681653266459616e-05
1359,manhattan,sentence_to_doc,get_tokens,remove_stopwords,get_synsets,remove_non_alnum,get_characters,get_4grams,,9.665847040926858e-05
1346,euclidean,sentence_to_doc,get_tokens,remove_stopwords,get_synsets,remove_non_alnum,get_characters,,,9.644592864101268e-05
1076,jaccard,sentence_to_doc,chunk_NEs,remove_stopwords,get_synsets,remove_non_alnum,get_2grams,,,9.607314751278037e-05
1783,manhattan,sentence_to_doc,chunk_NEs,get_stopwords,get_synsets,remove_non_alnum,get_characters,get_2grams,,9.594410633940938e-05
1242,euclidean,sentence_to_doc,chunk_NEs,get_stopwords,get_synsets,remove_non_alnum,get_3grams,,,9.56965633734533e-05
796,jaccard,sentence_to_doc,get_tokens,get_stopwords,lemmatize_tokens,get_characters,get_4grams,,,9.543646136311667e-05
337,cosine,sentence_to_doc,get_tokens,get_stopwords,get_synsets,,,,,9.523624149350524e-05
1351,manhattan,sentence_to_doc,get_tokens,remove_stopwords,get_synsets,remove_non_alnum,get_characters,get_2grams,,9.516231617848306e-05
178,euclidean,sentence_to_doc,get_tokens,get_token_text,remove_non_alnum,,,,,9.506671932334934e-05
1771,manhattan,sentence_to_doc,chunk_NEs,get_stopwords,get_token_text,remove_non_alnum,get_characters,get_3grams,,9.498616565225686e-05
1460,jaccard,sentence_to_doc,get_tokens,get_stopwords,lemmatize_tokens,remove_non_alnum,get_characters,get_2grams,,9.493893679105017e-05
1189,cosine,sentence_to_doc,chunk_NEs,get_stopwords,get_token_text,get_characters,get_2grams,,,9.489037298179623e-05
1501,cosine,sentence_to_doc,get_tokens,get_stopwords,get_synsets,remove_non_alnum,get_characters,get_4grams,,9.425255788781607e-05
325,cosine,sentence_to_doc,get_tokens,get_stopwords,get_token_text,get_2grams,,,,9.418202083567868e-05
60,jaccard,sentence_to_doc,get_tokens,get_synsets,get_4grams,,,,,9.404449698816199e-05
1789,cosine,sentence_to_doc,chunk_NEs,get_stopwords,get_synsets,remove_non_alnum,get_characters,get_4grams,,9.40262254946086e-05
1198,euclidean,sentence_to_doc,chunk_NEs,get_stopwords,get_token_text,get_characters,get_4grams,,,9.395877698444801e-05
1160,jaccard,sentence_to_doc,chunk_NEs,get_stopwords,lemmatize_tokens,get_characters,get_3grams,,,9.333895865448635e-05
680,jaccard,sentence_to_doc,get_tokens,remove_stopwords,get_token_text,remove_non_alnum,get_3grams,,,9.329555682716301e-05
3,manhattan,sentence_to_doc,get_tokens,get_pos_tags,,,,,,9.327099815264517e-05
1344,jaccard,sentence_to_doc,get_tokens,remove_stopwords,get_synsets,remove_non_alnum,get_characters,,,9.321970811132673e-05
367,manhattan,sentence_to_doc,chunk_NEs,lemmatize_tokens,get_characters,get_4grams,,,,9.31857904053001e-05
1773,cosine,sentence_to_doc,chunk_NEs,get_stopwords,get_token_text,remove_non_alnum,get_characters,get_4grams,,9.312491354649154e-05
1338,euclidean,sentence_to_doc,get_tokens,remove_stopwords,get_token_text,remove_non_alnum,get_characters,get_3grams,,9.294610430437784e-05
470,euclidean,sentence_to_doc,chunk_NEs,remove_stopwords,lemmatize_tokens,get_2grams,,,,9.263312435672333e-05
183,manhattan,sentence_to_doc,get_tokens,get_token_text,remove_non_alnum,get_2grams,,,,9.245205334836285e-05
